symbol,Date,Open,High,Low,Close,Adj Close,Volume
nio,2/5/2021,57.740002,57.98,56.009998,56.669998,56.669998,42892500
nio,2/8/2021,57.080002,59.52,56.18,59.07,59.07,64030100
nio,2/9/2021,58.950001,63.099998,58.240002,62.84,62.84,97246500
nio,2/10/2021,62.549999,64.599998,60.330002,61.259998,61.259998,90366700
nio,2/11/2021,61.689999,63.060001,59.810001,60.27,60.27,55615500
nio,2/12/2021,60.259998,61.049999,59.099998,59.849998,59.849998,39973800
nio,2/16/2021,60.400002,62.139999,58.650002,59.23,59.23,54914800
nio,2/17/2021,57.919998,58.029999,55.900002,57.32,57.32,63971200
nio,2/18/2021,55.450001,56.380001,52.599998,54.43,54.43,62127000
nio,2/19/2021,55.720001,56.040001,54.099998,55.040001,55.040001,42682700
nio,2/22/2021,54.18,54.369999,50.400002,50.68,50.68,68146000
nio,2/23/2021,45.619999,49.669998,41.66,49.110001,49.110001,142185500
nio,2/24/2021,49.310001,52.07,47.75,51.860001,51.860001,82251500
nio,2/25/2021,51.599998,51.849998,46.009998,46.810001,46.810001,94204200
li,8/26/2020,18.99,24.48,18.99,23.379999,23.379999,31561300
li,8/27/2020,22.26,22.309999,19.299999,19.379999,19.379999,29318200
li,8/28/2020,20.209999,20.5,17.6,17.6,17.6,14639300
li,8/31/2020,17.759001,18.84,16.200001,16.299999,16.299999,18322700
li,9/1/2020,17.08,18.459999,16.700001,18.290001,18.290001,18119400
li,9/2/2020,19.379999,19.68,17.200001,17.870001,17.870001,18415000
li,9/3/2020,17.174,17.6,16.26,16.91,16.91,10210100
li,9/4/2020,17.08,17.9,16.040001,16.83,16.83,11650600
li,9/8/2020,16,16.35,15.24,15.79,15.79,11067600
li,9/9/2020,16.41,16.950001,15.79,15.8,15.8,9115600
li,9/10/2020,16.17,16.73,15.86,16.049999,16.049999,5893400
li,9/11/2020,16.190001,16.700001,16.049999,16.209999,16.209999,3915000
li,9/14/2020,16.6,17.709999,16.311001,17.469999,17.469999,6429200
li,9/15/2020,17.66,18.75,17.65,18.190001,18.190001,9376700
li,9/16/2020,18.200001,18.43,17.421,17.52,17.52,5713800
li,9/17/2020,16.74,17.65,16.700001,17.26,17.26,3141300
li,9/18/2020,17.57,17.68,16.57,17.030001,17.030001,3817500
li,9/21/2020,16.5,16.870001,16,16.43,16.43,4288700
li,9/22/2020,16.559999,17.18,16.42,16.74,16.74,3043400
li,9/23/2020,16.75,16.75,15.61,15.68,15.68,6602000
li,9/24/2020,15.5,15.97,15.02,15.09,15.09,6846800
li,9/25/2020,15.35,16.07,15.23,15.8,15.8,3636800
li,9/28/2020,16.190001,16.209999,15.74,16.08,16.08,4720500
li,9/29/2020,16.08,17.16,16,17.030001,17.030001,6037800
li,9/30/2020,17.620001,18.24,17.09,17.389999,17.389999,7620300
li,10/1/2020,17.76,17.780001,16.549999,16.799999,16.799999,5425600
li,10/2/2020,16.25,18,16.200001,16.92,16.92,8396700
li,10/5/2020,17.42,18.129999,17.15,17.52,17.52,8143900
li,10/6/2020,17.719999,18.23,17.25,17.35,17.35,5659300
li,10/7/2020,17.6,18.08,17.41,17.77,17.77,3100700
li,10/8/2020,17.98,18.280001,17.719999,17.93,17.93,3228500
li,10/9/2020,18.030001,18.360001,17.5,17.6,17.6,3833100
li,10/12/2020,18.059999,19.34,17.610001,19.16,19.16,13995300
li,10/13/2020,18.809999,19.73,18.530001,19.43,19.43,7894100
li,10/14/2020,20.167,21.860001,20.059999,20.780001,20.780001,16666800
li,10/15/2020,20.35,21.469999,19.780001,20.5,20.5,11747600
li,10/16/2020,20.85,21.120001,19.610001,19.77,19.77,7456000
li,10/19/2020,20.34,20.370001,18.91,19.18,19.18,6444700
li,10/20/2020,19.209999,20.780001,19,20.49,20.49,7623900
li,10/21/2020,20.299999,21.1,19.360001,19.389999,19.389999,8402500
li,10/22/2020,20,20.1,18.719999,18.98,18.98,6343400
li,10/23/2020,18.9,18.99,18.309999,18.4,18.4,3624300
li,10/26/2020,18.299999,19.26,18.299999,19.08,19.08,5672300
li,10/27/2020,18.959999,19.610001,18.620001,19.209999,19.209999,4301800
li,10/28/2020,18.68,19.1,17.92,18.690001,18.690001,6231200
li,10/29/2020,19.309999,21.4,19.174999,20.620001,20.620001,14660600
li,10/30/2020,20.49,21.719999,20.07,20.17,20.17,11936300
li,11/2/2020,21.76,23.299999,21.360001,22.879999,22.879999,24942100
li,11/3/2020,23.4,24.17,22.049999,24.049999,24.049999,15563100
li,11/4/2020,25.690001,27.67,24.059999,25.309999,25.309999,28970600
li,11/5/2020,26.959999,28.49,26,28.09,28.09,32302800
li,11/6/2020,27.59,28.32,25.298,26.459999,26.459999,32691700
li,11/9/2020,26.370001,26.52,25.290001,26.299999,26.299999,14752100
li,11/10/2020,25.799999,26.48,23.18,25.24,25.24,16860000
li,11/11/2020,24.07,25.27,23.059999,24.969999,24.969999,11897500
li,11/12/2020,27.055,32.779999,26.4,31.780001,31.780001,83071000
li,11/13/2020,38.759998,40.806,30.110001,31.200001,31.200001,169787700
li,11/16/2020,31.33,36.970001,30.969999,35.549999,35.549999,85858000
li,11/17/2020,37.779999,38,34.450001,35.049999,35.049999,45851900
li,11/18/2020,35.07,36.650002,33.5,35.490002,35.490002,28208900
li,11/19/2020,35.599998,37.299999,34.810001,36.740002,36.740002,27079800
li,11/20/2020,37.029999,39.865002,36.299999,38.119999,38.119999,41861000
